BusinessName,Cuisine,DishName,DishRating,DishPrice
Restaurant_9,Mediterranean,Tabbouleh,4.9,400
Restaurant_9,Mediterranean,Lamb Shawarma,5.0,900
Restaurant_9,Mediterranean,Stuffed Vine Leaves,4.1,650
Restaurant_9,Mediterranean,Hummus & Pita,5.0,450
Restaurant_10,Italian,Bruschetta,1.0,450
Restaurant_10,Italian,Margherita Pizza,2.0,900
Restaurant_10,Italian,Pasta Carbonara,1.3,1000
Restaurant_10,Italian,Penne Arrabbiata,1.0,850
Restaurant_10,Italian,Risotto,1.5,1200
Restaurant_10,Italian,Minestrone Soup,1.6,500
Restaurant_10,Italian,Focaccia,1.3,350
Restaurant_10,Italian,Cannoli,1.0,400
Restaurant_11,Mediterranean,Greek Salad,3.8,550
Restaurant_11,Mediterranean,Hummus & Pita,4.1,450
Restaurant_11,Mediterranean,Falafel Wrap,5.0,550
Restaurant_11,Mediterranean,Stuffed Vine Leaves,3.7,650
Restaurant_11,Mediterranean,Moussaka,4.4,1100
Restaurant_11,Mediterranean,Baklava,4.1,350
Restaurant_12,Mexican,Chicken Quesadilla,3.0,750
Restaurant_12,Mexican,Elote,2.4,300
Restaurant_12,Mexican,Pico de Gallo,3.0,250
Restaurant_12,Mexican,Churros,2.7,350
Restaurant_12,Mexican,Flan,2.8,300
Restaurant_13,Mexican,Flan,1.3,300
Restaurant_13,Mexican,Beef Tacos,2.0,650
Restaurant_13,Mexican,Burrito Bowl,1.4,850
Restaurant_13,Mexican,Nachos,1.0,700
Restaurant_13,Mexican,Pico de Gallo,1.0,250
Restaurant_13,Mexican,Guacamole & Chips,1.3,500
Restaurant_13,Mexican,Elote,1.1,300
Restaurant_14,British,Fish & Chips,1.5,950
Restaurant_14,British,Victoria Sponge,1.3,450
Restaurant_14,British,Beef Wellington,1.5,1800
Restaurant_14,British,Cornish Pasty,2.0,500
Restaurant_14,British,Jacket Potato,1.1,420
Restaurant_14,British,Sticky Toffee Pudding,2.9,400
Restaurant_15,Cafe,Smoothie,4.8,400
Restaurant_15,Cafe,Eggs Benedict,3.5,750
Restaurant_15,Cafe,Croissant,4.7,280
Restaurant_15,Cafe,Granola Bowl,4.1,550
Restaurant_15,Cafe,Blueberry Muffin,3.1,250
Restaurant_15,Cafe,Scone,4.1,220
Restaurant_15,Cafe,Cheese Toastie,4.7,380
Restaurant_15,Cafe,Cappuccino,3.5,350
Restaurant_16,Italian,Focaccia,3.7,350
Restaurant_16,Italian,Risotto,3.7,1200
Restaurant_16,Italian,Pasta Carbonara,4.2,1000
Restaurant_16,Italian,Minestrone Soup,5.0,500
Restaurant_16,Italian,Tiramisu,5.0,600
Restaurant_17,South Asian,Onion Bhaji,1.8,300
Restaurant_17,South Asian,Lamb Biryani,1.6,1100
Restaurant_17,South Asian,Garlic Naan,2.6,80
Restaurant_17,South Asian,Seekh Kebab,1.2,750
Restaurant_17,South Asian,Dal Makhani,1.7,550
Restaurant_17,South Asian,Palak Paneer,2.1,650
Restaurant_17,South Asian,Samosa,1.9,120
Restaurant_18,Mexican,Pico de Gallo,1.1,250
Restaurant_18,Mexican,Churros,1.4,350
Restaurant_18,Mexican,Nachos,1.1,700
Restaurant_18,Mexican,Enchiladas,2.2,900
Restaurant_18,Mexican,Elote,1.0,300
Restaurant_19,Cafe,Avocado Toast,1.6,650
Restaurant_19,Cafe,Club Sandwich,1.6,700
Restaurant_19,Cafe,Granola Bowl,1.9,550
Restaurant_19,Cafe,Blueberry Muffin,1.2,250
Restaurant_19,Cafe,Eggs Benedict,1.4,750
Restaurant_19,Cafe,Croissant,1.1,280
Restaurant_20,British,Beans on Toast,4.1,350
Restaurant_20,British,Full English Breakfast,3.4,850
Restaurant_20,British,Sticky Toffee Pudding,3.2,400
Restaurant_20,British,Cornish Pasty,3.2,500
Restaurant_20,British,Scotch Egg,2.9,380
Restaurant_20,British,Fish & Chips,2.5,950
Restaurant_20,British,Beef Wellington,2.4,1800
Restaurant_20,British,Shepherd's Pie,3.2,1200
Restaurant_21,Mediterranean,Baklava,2.5,350
Restaurant_21,Mediterranean,Stuffed Vine Leaves,3.0,650
Restaurant_21,Mediterranean,Grilled Halloumi,2.3,800
Restaurant_21,Mediterranean,Falafel Wrap,1.8,550
Restaurant_21,Mediterranean,Tabbouleh,2.5,400
Restaurant_21,Mediterranean,Greek Salad,1.9,550
Restaurant_21,Mediterranean,Lamb Shawarma,2.2,900
Restaurant_21,Mediterranean,Tzatziki,2.5,350
Restaurant_22,Mediterranean,Moussaka,2.3,1100
Restaurant_22,Mediterranean,Falafel Wrap,2.1,550
Restaurant_22,Mediterranean,Hummus & Pita,1.9,450
Restaurant_22,Mediterranean,Greek Salad,3.0,550
Restaurant_22,Mediterranean,Grilled Halloumi,2.0,800
Restaurant_23,Mexican,Churros,3.3,350
Restaurant_23,Mexican,Guacamole & Chips,2.6,500
Restaurant_23,Mexican,Beef Tacos,2.8,650
Restaurant_23,Mexican,Nachos,2.0,700
Restaurant_23,Mexican,Enchiladas,3.1,900
Restaurant_23,Mexican,Elote,2.7,300
Restaurant_24,Italian,Tiramisu,2.1,600
Restaurant_24,Italian,Penne Arrabbiata,1.9,850
Restaurant_24,Italian,Minestrone Soup,1.3,500
Restaurant_24,Italian,Margherita Pizza,1.9,900
Restaurant_24,Italian,Bruschetta,1.9,450
Restaurant_24,Italian,Risotto,1.7,1200
Restaurant_25,Italian,Tiramisu,1.1,600
Restaurant_25,Italian,Cannoli,1.0,400
Restaurant_25,Italian,Pasta Carbonara,1.0,1000
Restaurant_25,Italian,Margherita Pizza,1.3,900
Restaurant_25,Italian,Minestrone Soup,1.0,500
Restaurant_26,British,Jacket Potato,4.0,420
Restaurant_26,British,Beef Wellington,4.5,1800
Restaurant_26,British,Fish & Chips,4.1,950
Restaurant_26,British,Beans on Toast,4.4,350
Restaurant_26,British,Victoria Sponge,3.9,450
Restaurant_26,British,Shepherd's Pie,3.8,1200
Restaurant_26,British,Cornish Pasty,3.4,500
Restaurant_26,British,Sticky Toffee Pudding,3.9,400
Restaurant_27,Italian,Minestrone Soup,5.0,500
Restaurant_27,Italian,Lasagne,4.7,1100
Restaurant_27,Italian,Cannoli,4.0,400
Restaurant_27,Italian,Pasta Carbonara,5.0,1000
Restaurant_27,Italian,Tiramisu,4.0,600
Restaurant_27,Italian,Focaccia,5.0,350
Restaurant_27,Italian,Bruschetta,4.5,450
Restaurant_27,Italian,Margherita Pizza,5.0,900
Restaurant_28,Mexican,Pico de Gallo,1.4,250
Restaurant_28,Mexican,Beef Tacos,1.2,650
Restaurant_28,Mexican,Churros,1.0,350
Restaurant_28,Mexican,Burrito Bowl,1.0,850
Restaurant_28,Mexican,Chicken Quesadilla,1.5,750
Restaurant_28,Mexican,Enchiladas,2.4,900
Restaurant_29,Italian,Pasta Carbonara,1.5,1000
Restaurant_29,Italian,Penne Arrabbiata,1.0,850
Restaurant_29,Italian,Lasagne,2.4,1100
Restaurant_29,Italian,Focaccia,1.5,350
Restaurant_29,Italian,Bruschetta,1.9,450
Restaurant_29,Italian,Risotto,1.8,1200
Restaurant_30,Chinese,Wonton Soup,4.3,600
Restaurant_30,Chinese,Kung Pao Chicken,4.5,950
Restaurant_30,Chinese,Spring Rolls,4.9,450
Restaurant_30,Chinese,Dim Sum,5.0,700
Restaurant_30,Chinese,Chow Mein,4.4,800
Restaurant_30,Chinese,Egg Fried Rice,4.8,550
Restaurant_31,Mexican,Elote,2.9,300
Restaurant_31,Mexican,Enchiladas,3.9,900
Restaurant_31,Mexican,Churros,3.3,350
Restaurant_31,Mexican,Pico de Gallo,3.4,250
Restaurant_31,Mexican,Burrito Bowl,3.6,850
Restaurant_31,Mexican,Nachos,3.2,700
Restaurant_31,Mexican,Flan,3.5,300
Restaurant_31,Mexican,Chicken Quesadilla,3.1,750
Restaurant_32,Mediterranean,Greek Salad,2.3,550
Restaurant_32,Mediterranean,Lamb Shawarma,3.4,900
Restaurant_32,Mediterranean,Moussaka,2.7,1100
Restaurant_32,Mediterranean,Falafel Wrap,2.2,550
Restaurant_32,Mediterranean,Tzatziki,3.2,350
Restaurant_32,Mediterranean,Baklava,2.6,350
Restaurant_33,Fast Food,Fish Fillet,2.3,550
Restaurant_33,Fast Food,Onion Rings,3.0,350
Restaurant_33,Fast Food,Coleslaw,2.2,200
Restaurant_33,Fast Food,BBQ Wings,3.8,750
Restaurant_33,Fast Food,Hot Dog,2.7,400
Restaurant_33,Fast Food,Fried Chicken,2.6,700
Restaurant_33,Fast Food,Milkshake,2.8,350
Restaurant_34,Mexican,Chicken Quesadilla,3.5,750
Restaurant_34,Mexican,Flan,3.1,300
Restaurant_34,Mexican,Enchiladas,2.8,900
Restaurant_34,Mexican,Beef Tacos,2.4,650
Restaurant_34,Mexican,Guacamole & Chips,3.7,500
Restaurant_34,Mexican,Pico de Gallo,3.1,250
Restaurant_34,Mexican,Burrito Bowl,3.8,850
Restaurant_35,Italian,Focaccia,4.2,350
Restaurant_35,Italian,Margherita Pizza,5.0,900
Restaurant_35,Italian,Tiramisu,5.0,600
Restaurant_35,Italian,Minestrone Soup,5.0,500
Restaurant_35,Italian,Cannoli,4.7,400
Restaurant_36,British,Beans on Toast,1.0,350
Restaurant_36,British,Victoria Sponge,1.0,450
Restaurant_36,British,Fish & Chips,1.0,950
Restaurant_36,British,Scotch Egg,1.4,380
Restaurant_36,British,Shepherd's Pie,1.0,1200
Restaurant_37,Fast Food,Beef Burger,3.9,650
Restaurant_37,Fast Food,Hot Dog,3.1,400
Restaurant_37,Fast Food,Coleslaw,4.4,200
Restaurant_37,Fast Food,BBQ Wings,5.0,750
Restaurant_37,Fast Food,Fried Chicken,5.0,700
Restaurant_37,Fast Food,Milkshake,4.6,350
Restaurant_37,Fast Food,Loaded Fries,4.4,550
Restaurant_37,Fast Food,Fish Fillet,3.7,550
Restaurant_38,Chinese,Dim Sum,2.4,700
Restaurant_38,Chinese,Wonton Soup,2.0,600
Restaurant_38,Chinese,Spring Rolls,2.5,450
Restaurant_38,Chinese,Bok Choy,1.5,400
Restaurant_38,Chinese,Chow Mein,2.5,800
Restaurant_38,Chinese,Egg Fried Rice,1.9,550
Restaurant_39,Cafe,Blueberry Muffin,4.1,250
Restaurant_39,Cafe,Cappuccino,4.3,350
Restaurant_39,Cafe,Eggs Benedict,3.7,750
Restaurant_39,Cafe,Scone,4.4,220
Restaurant_39,Cafe,Club Sandwich,3.9,700
Restaurant_40,South Asian,Samosa,4.0,120
Restaurant_40,South Asian,Garlic Naan,3.5,80
Restaurant_40,South Asian,Lamb Biryani,3.6,1100
Restaurant_40,South Asian,Onion Bhaji,3.1,300
Restaurant_40,South Asian,Seekh Kebab,3.8,750
Restaurant_41,Chinese,Wonton Soup,3.2,600
Restaurant_41,Chinese,Dim Sum,5.0,700
Restaurant_41,Chinese,Bok Choy,3.9,400
Restaurant_41,Chinese,Chow Mein,3.6,800
Restaurant_41,Chinese,Kung Pao Chicken,4.3,950
Restaurant_42,Italian,Cannoli,2.6,400
Restaurant_42,Italian,Minestrone Soup,4.0,500
Restaurant_42,Italian,Tiramisu,2.8,600
Restaurant_42,Italian,Risotto,2.8,1200
Restaurant_42,Italian,Lasagne,3.2,1100
Restaurant_42,Italian,Margherita Pizza,2.7,900
Restaurant_42,Italian,Bruschetta,2.7,450
Restaurant_43,Cafe,Scone,2.9,220
Restaurant_43,Cafe,Blueberry Muffin,3.1,250
Restaurant_43,Cafe,Cappuccino,2.0,350
Restaurant_43,Cafe,Club Sandwich,3.3,700
Restaurant_43,Cafe,Smoothie,3.3,400
Restaurant_44,Chinese,Chow Mein,3.4,800
Restaurant_44,Chinese,Bok Choy,3.0,400
Restaurant_44,Chinese,Wonton Soup,3.6,600
Restaurant_44,Chinese,Fried Dumplings,4.1,650
Restaurant_44,Chinese,Egg Fried Rice,4.2,550
Restaurant_44,Chinese,Kung Pao Chicken,3.2,950
Restaurant_44,Chinese,Peking Duck,4.6,1800
Restaurant_44,Chinese,Spring Rolls,4.3,450
Restaurant_45,Mexican,Guacamole & Chips,1.7,500
Restaurant_45,Mexican,Enchiladas,1.2,900
Restaurant_45,Mexican,Elote,1.6,300
Restaurant_45,Mexican,Nachos,1.0,700
Restaurant_45,Mexican,Pico de Gallo,1.0,250
Restaurant_46,Cafe,Smoothie,2.1,400
Restaurant_46,Cafe,Croissant,1.9,280
Restaurant_46,Cafe,Cheese Toastie,2.1,380
Restaurant_46,Cafe,Granola Bowl,3.9,550
Restaurant_46,Cafe,Avocado Toast,2.2,650
Restaurant_46,Cafe,Scone,3.0,220
Restaurant_47,Fast Food,Loaded Fries,4.2,550
Restaurant_47,Fast Food,Milkshake,5.0,350
Restaurant_47,Fast Food,Chicken Wrap,4.6,600
Restaurant_47,Fast Food,BBQ Wings,3.9,750
Restaurant_47,Fast Food,Onion Rings,4.5,350
Restaurant_47,Fast Food,Hot Dog,3.4,400
Restaurant_47,Fast Food,Coleslaw,4.2,200
Restaurant_47,Fast Food,Fish Fillet,4.5,550
Restaurant_48,Mexican,Guacamole & Chips,1.3,500
Restaurant_48,Mexican,Burrito Bowl,1.2,850
Restaurant_48,Mexican,Churros,1.0,350
Restaurant_48,Mexican,Chicken Quesadilla,1.6,750
Restaurant_48,Mexican,Flan,1.1,300
Restaurant_48,Mexican,Elote,1.4,300
Restaurant_48,Mexican,Enchiladas,1.6,900
Restaurant_49,British,Fish & Chips,3.2,950
Restaurant_49,British,Scotch Egg,3.6,380
Restaurant_49,British,Beef Wellington,4.2,1800
Restaurant_49,British,Sticky Toffee Pudding,2.2,400
Restaurant_49,British,Beans on Toast,3.9,350
Restaurant_49,British,Cornish Pasty,3.6,500
Restaurant_49,British,Jacket Potato,3.5,420
Restaurant_49,British,Victoria Sponge,3.8,450
Restaurant_50,Mediterranean,Grilled Halloumi,3.5,800
Restaurant_50,Mediterranean,Baklava,4.5,350
Restaurant_50,Mediterranean,Tabbouleh,3.7,400
Restaurant_50,Mediterranean,Falafel Wrap,4.0,550
Restaurant_50,Mediterranean,Moussaka,3.4,1100
Restaurant_50,Mediterranean,Stuffed Vine Leaves,3.8,650
Restaurant_50,Mediterranean,Tzatziki,3.5,350
Restaurant_50,Mediterranean,Greek Salad,3.1,550
Restaurant_51,Chinese,Bok Choy,2.6,400
Restaurant_51,Chinese,Dim Sum,2.8,700
Restaurant_51,Chinese,Egg Fried Rice,2.9,550
Restaurant_51,Chinese,Spring Rolls,2.4,450
Restaurant_51,Chinese,Sweet & Sour Chicken,2.4,900
Restaurant_52,Fast Food,Chicken Wrap,2.1,600
Restaurant_52,Fast Food,BBQ Wings,1.7,750
Restaurant_52,Fast Food,Fried Chicken,2.5,700
Restaurant_52,Fast Food,Loaded Fries,2.1,550
Restaurant_52,Fast Food,Hot Dog,3.5,400
Restaurant_52,Fast Food,Beef Burger,2.8,650
Restaurant_52,Fast Food,Fish Fillet,2.1,550
Restaurant_52,Fast Food,Coleslaw,2.6,200
Restaurant_53,Italian,Cannoli,4.7,400
Restaurant_53,Italian,Tiramisu,4.9,600
Restaurant_53,Italian,Pasta Carbonara,4.8,1000
Restaurant_53,Italian,Lasagne,5.0,1100
Restaurant_53,Italian,Risotto,5.0,1200
Restaurant_53,Italian,Bruschetta,5.0,450
Restaurant_54,Mexican,Chicken Quesadilla,1.2,750
Restaurant_54,Mexican,Burrito Bowl,2.0,850
Restaurant_54,Mexican,Churros,2.2,350
Restaurant_54,Mexican,Enchiladas,1.7,900
Restaurant_54,Mexican,Nachos,1.8,700
Restaurant_54,Mexican,Elote,1.6,300
Restaurant_54,Mexican,Flan,1.3,300
Restaurant_55,Chinese,Peking Duck,4.8,1800
Restaurant_55,Chinese,Sweet & Sour Chicken,5.0,900
Restaurant_55,Chinese,Fried Dumplings,4.3,650
Restaurant_55,Chinese,Chow Mein,4.8,800
Restaurant_55,Chinese,Dim Sum,4.7,700
Restaurant_55,Chinese,Spring Rolls,4.8,450
Restaurant_56,Mediterranean,Tzatziki,3.7,350
Restaurant_56,Mediterranean,Hummus & Pita,2.9,450
Restaurant_56,Mediterranean,Grilled Halloumi,3.1,800
Restaurant_56,Mediterranean,Moussaka,2.9,1100
Restaurant_56,Mediterranean,Greek Salad,3.6,550
Restaurant_56,Mediterranean,Lamb Shawarma,3.5,900
Restaurant_57,Italian,Bruschetta,1.5,450
Restaurant_57,Italian,Margherita Pizza,1.7,900
Restaurant_57,Italian,Risotto,1.6,1200
Restaurant_57,Italian,Focaccia,1.3,350
Restaurant_57,Italian,Minestrone Soup,2.3,500
Restaurant_57,Italian,Lasagne,2.0,1100
Restaurant_57,Italian,Pasta Carbonara,1.9,1000
Restaurant_58,Mexican,Guacamole & Chips,3.5,500
Restaurant_58,Mexican,Flan,3.4,300
Restaurant_58,Mexican,Elote,3.3,300
Restaurant_58,Mexican,Nachos,3.6,700
Restaurant_58,Mexican,Enchiladas,2.9,900
Restaurant_58,Mexican,Beef Tacos,4.1,650
Restaurant_58,Mexican,Churros,3.3,350
Restaurant_58,Mexican,Burrito Bowl,2.9,850
Restaurant_59,Fast Food,Chicken Wrap,3.6,600
Restaurant_59,Fast Food,Fish Fillet,3.7,550
Restaurant_59,Fast Food,Loaded Fries,3.2,550
Restaurant_59,Fast Food,Coleslaw,3.3,200
Restaurant_59,Fast Food,Hot Dog,3.2,400
Restaurant_59,Fast Food,Milkshake,2.6,350
Restaurant_59,Fast Food,Fried Chicken,2.8,700
Restaurant_59,Fast Food,Onion Rings,2.5,350
Restaurant_60,Italian,Tiramisu,1.8,600
Restaurant_60,Italian,Risotto,1.0,1200
Restaurant_60,Italian,Pasta Carbonara,1.7,1000
Restaurant_60,Italian,Penne Arrabbiata,1.6,850
Restaurant_60,Italian,Cannoli,2.4,400
Restaurant_60,Italian,Lasagne,2.2,1100
Restaurant_61,Cafe,Scone,1.6,220
Restaurant_61,Cafe,Cappuccino,2.0,350
Restaurant_61,Cafe,Cheese Toastie,1.7,380
Restaurant_61,Cafe,Eggs Benedict,2.6,750
Restaurant_61,Cafe,Club Sandwich,1.0,700
Restaurant_61,Cafe,Granola Bowl,1.2,550
Restaurant_61,Cafe,Croissant,3.0,280
Restaurant_61,Cafe,Blueberry Muffin,1.5,250
Restaurant_62,Mexican,Nachos,1.8,700
Restaurant_62,Mexican,Enchiladas,1.2,900
Restaurant_62,Mexican,Pico de Gallo,1.0,250
Restaurant_62,Mexican,Beef Tacos,1.0,650
Restaurant_62,Mexican,Churros,1.0,350
Restaurant_62,Mexican,Flan,2.3,300
Restaurant_62,Mexican,Chicken Quesadilla,1.0,750
Restaurant_62,Mexican,Burrito Bowl,1.0,850
Restaurant_63,Cafe,Scone,3.5,220
Restaurant_63,Cafe,Croissant,4.9,280
Restaurant_63,Cafe,Blueberry Muffin,4.1,250
Restaurant_63,Cafe,Granola Bowl,3.8,550
Restaurant_63,Cafe,Club Sandwich,5.0,700
Restaurant_63,Cafe,Cappuccino,5.0,350
Restaurant_63,Cafe,Cheese Toastie,3.5,380
Restaurant_64,Fast Food,Fried Chicken,4.2,700
Restaurant_64,Fast Food,Coleslaw,2.7,200
Restaurant_64,Fast Food,Milkshake,3.8,350
Restaurant_64,Fast Food,Loaded Fries,4.0,550
Restaurant_64,Fast Food,Fish Fillet,3.0,550
Restaurant_65,Cafe,Club Sandwich,4.0,700
Restaurant_65,Cafe,Avocado Toast,4.4,650
Restaurant_65,Cafe,Croissant,3.6,280
Restaurant_65,Cafe,Cappuccino,3.5,350
Restaurant_65,Cafe,Smoothie,3.7,400
Restaurant_65,Cafe,Blueberry Muffin,3.3,250
Restaurant_65,Cafe,Granola Bowl,3.5,550
Restaurant_65,Cafe,Cheese Toastie,3.8,380
Restaurant_66,Mexican,Churros,1.0,350
Restaurant_66,Mexican,Burrito Bowl,1.3,850
Restaurant_66,Mexican,Enchiladas,1.3,900
Restaurant_66,Mexican,Pico de Gallo,1.4,250
Restaurant_66,Mexican,Guacamole & Chips,1.0,500
Restaurant_66,Mexican,Beef Tacos,1.5,650
Restaurant_66,Mexican,Nachos,1.7,700
Restaurant_67,Fast Food,Onion Rings,1.5,350
Restaurant_67,Fast Food,Hot Dog,2.4,400
Restaurant_67,Fast Food,Milkshake,2.2,350
Restaurant_67,Fast Food,Loaded Fries,1.2,550
Restaurant_67,Fast Food,Chicken Wrap,2.6,600
Restaurant_67,Fast Food,BBQ Wings,2.5,750
Restaurant_68,Chinese,Egg Fried Rice,3.0,550
Restaurant_68,Chinese,Fried Dumplings,3.5,650
Restaurant_68,Chinese,Wonton Soup,3.6,600
Restaurant_68,Chinese,Peking Duck,3.1,1800
Restaurant_68,Chinese,Bok Choy,3.3,400
Restaurant_69,British,Full English Breakfast,1.8,850
Restaurant_69,British,Sticky Toffee Pudding,1.4,400
Restaurant_69,British,Cornish Pasty,2.9,500
Restaurant_69,British,Fish & Chips,2.6,950
Restaurant_69,British,Beef Wellington,2.6,1800
Restaurant_70,Mediterranean,Tabbouleh,2.0,400
Restaurant_70,Mediterranean,Hummus & Pita,2.5,450
Restaurant_70,Mediterranean,Stuffed Vine Leaves,2.6,650
Restaurant_70,Mediterranean,Grilled Halloumi,2.6,800
Restaurant_70,Mediterranean,Moussaka,2.3,1100
Restaurant_70,Mediterranean,Falafel Wrap,1.8,550
Restaurant_70,Mediterranean,Tzatziki,2.1,350
Restaurant_70,Mediterranean,Greek Salad,1.7,550
Restaurant_71,Fast Food,Loaded Fries,3.9,550
Restaurant_71,Fast Food,Coleslaw,4.2,200
Restaurant_71,Fast Food,BBQ Wings,4.8,750
Restaurant_71,Fast Food,Onion Rings,4.1,350
Restaurant_71,Fast Food,Beef Burger,4.4,650
Restaurant_71,Fast Food,Hot Dog,4.0,400
Restaurant_71,Fast Food,Fried Chicken,4.5,700
Restaurant_71,Fast Food,Milkshake,5.0,350
Restaurant_72,British,Beef Wellington,3.7,1800
Restaurant_72,British,Victoria Sponge,3.4,450
Restaurant_72,British,Sticky Toffee Pudding,4.1,400
Restaurant_72,British,Shepherd's Pie,3.1,1200
Restaurant_72,British,Scotch Egg,4.6,380
Restaurant_72,British,Fish & Chips,3.8,950
Restaurant_73,Italian,Lasagne,2.9,1100
Restaurant_73,Italian,Cannoli,2.9,400
Restaurant_73,Italian,Focaccia,2.7,350
Restaurant_73,Italian,Margherita Pizza,2.0,900
Restaurant_73,Italian,Pasta Carbonara,1.7,1000
Restaurant_73,Italian,Minestrone Soup,2.9,500
Restaurant_74,British,Full English Breakfast,1.2,850
Restaurant_74,British,Beans on Toast,1.0,350
Restaurant_74,British,Sticky Toffee Pudding,2.5,400
Restaurant_74,British,Scotch Egg,1.6,380
Restaurant_74,British,Shepherd's Pie,1.2,1200
Restaurant_75,Fast Food,Coleslaw,4.0,200
Restaurant_75,Fast Food,Beef Burger,4.1,650
Restaurant_75,Fast Food,Onion Rings,4.7,350
Restaurant_75,Fast Food,Hot Dog,4.3,400
Restaurant_75,Fast Food,Chicken Wrap,4.6,600
Restaurant_75,Fast Food,Fried Chicken,3.8,700
Restaurant_76,Mexican,Chicken Quesadilla,2.0,750
Restaurant_76,Mexican,Elote,2.4,300
Restaurant_76,Mexican,Beef Tacos,2.4,650
Restaurant_76,Mexican,Pico de Gallo,2.8,250
Restaurant_76,Mexican,Nachos,2.0,700
Restaurant_76,Mexican,Churros,1.7,350
Restaurant_76,Mexican,Flan,2.3,300
Restaurant_76,Mexican,Burrito Bowl,1.5,850
Restaurant_77,South Asian,Chicken Tikka Masala,4.5,950
Restaurant_77,South Asian,Dal Makhani,4.9,550
Restaurant_77,South Asian,Gulab Jamun,4.5,200
Restaurant_77,South Asian,Samosa,5.0,120
Restaurant_77,South Asian,Onion Bhaji,5.0,300
Restaurant_77,South Asian,Mango Lassi,5.0,250
Restaurant_77,South Asian,Garlic Naan,4.1,80
Restaurant_77,South Asian,Seekh Kebab,4.5,750
Restaurant_78,Cafe,Croissant,3.5,280
Restaurant_78,Cafe,Smoothie,4.3,400
Restaurant_78,Cafe,Club Sandwich,3.4,700
Restaurant_78,Cafe,Blueberry Muffin,4.0,250
Restaurant_78,Cafe,Cheese Toastie,3.7,380
Restaurant_78,Cafe,Eggs Benedict,3.8,750
Restaurant_79,Cafe,Cappuccino,1.5,350
Restaurant_79,Cafe,Cheese Toastie,2.2,380
Restaurant_79,Cafe,Scone,1.7,220
Restaurant_79,Cafe,Club Sandwich,2.0,700
Restaurant_79,Cafe,Smoothie,1.7,400
Restaurant_80,Mediterranean,Tabbouleh,1.0,400
Restaurant_80,Mediterranean,Falafel Wrap,1.0,550
Restaurant_80,Mediterranean,Tzatziki,1.6,350
Restaurant_80,Mediterranean,Lamb Shawarma,1.0,900
Restaurant_80,Mediterranean,Baklava,1.0,350
