BusinessName,BusinessType,RatingValue,InspectionDate,Address,PostCode,Province,user_rating,Hygiene_Score,Latitude,Longitude
Java Pastry,Restaurant/Cafe/Shop,Awaiting Inspection,12/07/2024,Address_86,46000,Punjab,3.3,61.2,31.483267,74.464772
Spicy Dhaba,Restaurant/Cafe/Shop,Pass,03/03/2025,Address_87,60000,Punjab,1.4,61.6,31.445977,74.209188
Khyber Nights,Restaurant/Cafe/Shop,Pass,06/11/2024,Address_88,38000,Punjab,4.8,92.2,31.675801,74.270967
Wrap Shop,Restaurant/Cafe/Shop,Improvement Required,28/12/2024,Address_89,54000,Punjab,4.4,74.6,31.609354,74.235456
Snack Fresh,Restaurant/Cafe/Shop,Pass,08/09/2025,Address_90,54000,Punjab,5,94,31.509629,74.343609
Aroma House (1),Restaurant/Cafe/Shop,Pass,19/11/2024,Address_91,46000,Punjab,2.9,75.1,31.451727,74.30572
Bella Pasta,Restaurant/Cafe/Shop,Pass,11/02/2025,Address_92,40100,Punjab,4,85,31.564047,74.3079
Lahore Feast,Restaurant/Cafe/Shop,Pass,18/07/2025,Address_93,46000,Punjab,2.4,70.6,31.568219,74.473963
Roma Vita,Restaurant/Cafe/Shop,Pass,29/12/2024,Address_94,54000,Punjab,4.7,91.3,31.683006,74.368272
Napoli Vita,Restaurant/Cafe/Shop,Improvement Required,14/03/2024,Address_95,54000,Punjab,4.3,73.7,31.627497,74.31475
Chelsea Crown,Restaurant/Cafe/Shop,Improvement Required,22/11/2025,Address_96,60000,Punjab,3.6,67.4,31.685759,74.27461
Morning Brew,Restaurant/Cafe/Shop,Pass,02/03/2024,Address_97,60000,Punjab,3.1,76.9,31.656181,74.383952
Tuscan Napoli,Restaurant/Cafe/Shop,Improvement Required,27/10/2024,Address_98,55150,Punjab,2.1,53.9,31.62523,74.438611
Gourmet Fries (1),Restaurant/Cafe/Shop,Pass,25/01/2025,Address_99,38000,Punjab,2.1,67.9,31.55275,74.301968
Peshawar Handi,Restaurant/Cafe/Shop,Pass,11/04/2025,Address_100,40100,Punjab,3.7,82.3,31.414574,74.284924
Green Leaf Bakery,Restaurant/Cafe/Shop,Improvement Required,09/09/2024,Address_101,38000,Punjab,4.9,79.1,31.439056,74.477045
Munchies Attack,Restaurant/Cafe/Shop,Improvement Required,13/11/2024,Address_102,54000,Punjab,1.4,47.6,31.598063,74.420824
Bella Vita,Restaurant/Cafe/Shop,Pass,26/09/2025,Address_103,54000,Punjab,2.1,67.9,31.514523,74.248271
La Salsa Avocado,Restaurant/Cafe/Shop,Pass,25/06/2025,Address_104,46000,Punjab,3.4,79.6,31.599246,74.365183
London Crown,Restaurant/Cafe/Shop,Pass,14/12/2024,Address_105,54000,Punjab,3.9,84.1,31.60105,74.292452
Dynasty Blossom,Restaurant/Cafe/Shop,Pass,15/03/2024,Address_106,54000,Punjab,2.5,71.5,31.687061,74.406729
Veracruz Eats,Restaurant/Cafe/Shop,Pass,20/03/2025,Address_107,38000,Punjab,3,76,31.680656,74.418293
Solo Grill,Restaurant/Cafe/Shop,Pass,21/11/2025,Address_108,46000,Punjab,4,85,31.494638,74.394352
Hong Kong Garden,Restaurant/Cafe/Shop,Pass,09/10/2025,Address_109,46000,Punjab,4.5,89.5,31.410991,74.261808
Trattoria Ristorante,Restaurant/Cafe/Shop,Pass,17/03/2024,Address_110,54000,Punjab,1.9,66.1,31.602656,74.450949
Chili Grill,Restaurant/Cafe/Shop,Awaiting Inspection,20/10/2024,Address_111,55150,Punjab,2.6,54.9,31.473366,74.368565
Highland Fleece,Restaurant/Cafe/Shop,Pass,05/01/2024,Address_112,40100,Punjab,4.7,91.3,31.52468,74.29814
Red Cafe,Restaurant/Cafe/Shop,Pass,18/12/2025,Address_113,60000,Punjab,2.5,71.5,31.496901,74.405018
The Pizza Spot,Restaurant/Cafe/Shop,Pass,14/11/2025,Address_114,55150,Punjab,1.1,58.9,31.560068,74.273301
Buns & Delight,Restaurant/Cafe/Shop,Pass,07/05/2025,Address_115,54000,Punjab,3.7,82.3,31.458662,74.397522
Crispy Fry,Restaurant/Cafe/Shop,Pass,25/02/2024,Address_116,60000,Punjab,3.7,82.3,31.656285,74.348384
The Golden Fleece,Restaurant/Cafe/Shop,Pass,28/07/2025,Address_117,55150,Punjab,4.4,88.6,31.428819,74.244581
Shake Burger,Restaurant/Cafe/Shop,Pass,19/02/2025,Address_118,38000,Punjab,4.3,87.7,31.583541,74.469427
Zaiqa Lal Qila,Restaurant/Cafe/Shop,Pass,24/12/2024,Address_119,60000,Punjab,1.4,61.6,31.584333,74.371975
Mayfair Bistro,Restaurant/Cafe/Shop,Pass,25/08/2025,Address_120,40100,Punjab,3.2,77.8,31.55118,74.404468
Sapori Venezia,Restaurant/Cafe/Shop,Pass,26/04/2025,Address_121,55150,Punjab,2.4,70.6,31.510049,74.215598
Cozy Bakery,Restaurant/Cafe/Shop,Pass,08/10/2024,Address_122,60000,Punjab,2.9,75.1,31.523235,74.374929
Desi Junction,Restaurant/Cafe/Shop,Pass,02/10/2025,Address_123,55150,Punjab,3.3,78.7,31.611667,74.448388
Golden Kitchen,Restaurant/Cafe/Shop,Pass,20/03/2025,Address_124,38000,Punjab,1.9,66.1,31.425837,74.407753
Roma Bistro,Restaurant/Cafe/Shop,Pass,30/06/2024,Address_125,60000,Punjab,2.2,68.8,31.478221,74.222367
Peking Lee,Restaurant/Cafe/Shop,Pass,18/02/2024,Address_126,38000,Punjab,4.2,86.8,31.662355,74.323657
Zaiqa Biryani,Restaurant/Cafe/Shop,Improvement Required,19/04/2024,Address_127,60000,Punjab,1.9,52.1,31.459631,74.374213
Casa Avocado,Restaurant/Cafe/Shop,Pass,23/02/2024,Address_128,55150,Punjab,2.1,67.9,31.466584,74.266499
Gourmet Zone,Restaurant/Cafe/Shop,Pass,05/09/2024,Address_129,60000,Punjab,3.8,83.2,31.404073,74.419144
Moroccan Blue,Restaurant/Cafe/Shop,Pass,28/01/2024,Address_130,54000,Punjab,2.1,67.9,31.566591,74.296379
Shun Great Wall,Restaurant/Cafe/Shop,Pass,13/07/2025,Address_131,55150,Punjab,4.7,91.3,31.425959,74.279826
Hong Kong House,Restaurant/Cafe/Shop,Pass,16/02/2024,Address_132,55150,Punjab,3.7,82.3,31.506862,74.28354
La Taqueria Amigos,Restaurant/Cafe/Shop,Pass,13/06/2024,Address_133,55150,Punjab,2.1,67.9,31.625236,74.283817
Snack Hot Dog,Restaurant/Cafe/Shop,Pass,25/11/2024,Address_134,55150,Punjab,1.1,58.9,31.519921,74.483984
El Taco Avocado,Restaurant/Cafe/Shop,Improvement Required,10/08/2024,Address_135,40100,Punjab,4.3,73.7,31.502202,74.273211
Aztec Loco,Restaurant/Cafe/Shop,Pass,29/08/2025,Address_136,46000,Punjab,4.6,90.4,31.632175,74.46027
The Tea Palace,Restaurant/Cafe/Shop,Pass,05/12/2025,Address_137,60000,Punjab,4.6,90.4,31.568996,74.365514
Donut Fresh,Restaurant/Cafe/Shop,Pass,23/10/2024,Address_138,38000,Punjab,3.4,79.6,31.517243,74.484134
Chipotle Loco,Restaurant/Cafe/Shop,Pass,08/05/2025,Address_139,46000,Punjab,2.4,70.6,31.512991,74.343044
Punjab Cafe,Restaurant/Cafe/Shop,Pass,21/05/2024,Address_140,46000,Punjab,2.7,73.3,31.497053,74.318475
Quick Fry,Restaurant/Cafe/Shop,Pass,10/10/2025,Address_141,40100,Punjab,2.6,72.4,31.663646,74.430863
Crispy Fry (1),Restaurant/Cafe/Shop,Improvement Required,18/12/2025,Address_142,60000,Punjab,2.3,55.7,31.688127,74.315901
Turbo Burger,Restaurant/Cafe/Shop,Awaiting Inspection,15/05/2025,Address_143,38000,Punjab,4.8,74.7,31.536052,74.246434
Senor Burrito,Restaurant/Cafe/Shop,Pass,23/12/2024,Address_144,38000,Punjab,1.4,61.6,31.601547,74.368225
Khyber Darbar,Restaurant/Cafe/Shop,Pass,02/01/2025,Address_145,55150,Punjab,4.8,92.2,31.582192,74.339535
Moroccan Tree,Restaurant/Cafe/Shop,Improvement Required,20/01/2024,Address_146,38000,Punjab,3.6,67.4,31.645086,74.233548
Borough Crown,Restaurant/Cafe/Shop,Pass,29/06/2025,Address_147,40100,Punjab,1.4,61.6,31.587497,74.244789
Highland Crown,Restaurant/Cafe/Shop,Improvement Required,11/11/2024,Address_148,60000,Punjab,1.3,46.7,31.443523,74.310867
Lebanese Bistro,Restaurant/Cafe/Shop,Pass,29/03/2025,Address_149,60000,Punjab,4.6,90.4,31.68275,74.44916
Chipotle Fiesta,Restaurant/Cafe/Shop,Pass,13/04/2025,Address_150,40100,Punjab,3.7,82.3,31.574295,74.484312
La Piazza Bolognese,Restaurant/Cafe/Shop,Pass,24/07/2025,Address_151,38000,Punjab,4.8,92.2,31.500504,74.443728
Brunch & Bakehouse,Restaurant/Cafe/Shop,Improvement Required,13/06/2024,Address_152,38000,Punjab,2.5,57.5,31.457008,74.335957
Lahore Spices,Restaurant/Cafe/Shop,Pass,05/02/2024,Address_153,55150,Punjab,1.8,65.2,31.413227,74.466813
Golden Cafe,Restaurant/Cafe/Shop,Pass,17/05/2024,Address_154,55150,Punjab,4.1,85.9,31.440793,74.299296
Donut Zone,Restaurant/Cafe/Shop,Pass,16/05/2024,Address_155,55150,Punjab,5,94,31.520188,74.339648
Urban Pastry,Restaurant/Cafe/Shop,Pass,16/05/2025,Address_156,40100,Punjab,3.8,83.2,31.531247,74.204783
Jalapeno Loco,Restaurant/Cafe/Shop,Pass,10/04/2025,Address_157,40100,Punjab,3.4,79.6,31.541597,74.424531
Chili Eats,Restaurant/Cafe/Shop,Pass,10/03/2024,Address_158,40100,Punjab,1.6,63.4,31.434585,74.45223
Tuscan Italia,Restaurant/Cafe/Shop,Pass,18/08/2024,Address_159,40100,Punjab,4.4,88.6,31.673503,74.342475
Saffron Dhaba,Restaurant/Cafe/Shop,Improvement Required,30/09/2025,Address_160,38000,Punjab,1.4,47.6,31.487369,74.462249
Sindh Karahi,Restaurant/Cafe/Shop,Pass,19/09/2025,Address_161,54000,Punjab,3.3,78.7,31.607428,74.393434
The Pizza Bites,Restaurant/Cafe/Shop,Pass,26/02/2025,Address_162,54000,Punjab,3.6,81.4,31.666343,74.356768
Chopsticks Lee,Restaurant/Cafe/Shop,Pass,08/05/2025,Address_163,54000,Punjab,1,58,31.661956,74.391996
Urban Cozy,Restaurant/Cafe/Shop,Pass,09/11/2024,Address_164,60000,Punjab,4.3,87.7,31.600472,74.370469
Sherwood Horses,Restaurant/Cafe/Shop,Pass,10/06/2024,Address_165,55150,Punjab,2.4,70.6,31.684815,74.282766
El Sombrero Loco,Restaurant/Cafe/Shop,Pass,24/12/2025,Address_166,60000,Punjab,2.9,75.1,31.598028,74.352245
The Daily Espresso,Restaurant/Cafe/Shop,Pass,17/06/2025,Address_167,40100,Punjab,2.9,75.1,31.547949,74.471899
Hummus Eats,Restaurant/Cafe/Shop,Pass,26/12/2025,Address_168,40100,Punjab,1.2,59.8,31.59533,74.358722
The White Castle,Restaurant/Cafe/Shop,Pass,29/01/2025,Address_169,55150,Punjab,2.4,70.6,31.534216,74.306972
Morning Bakery,Restaurant/Cafe/Shop,Pass,05/11/2024,Address_170,40100,Punjab,1.6,63.4,31.465385,74.373541
Thames Market,Restaurant/Cafe/Shop,Pass,02/11/2024,Address_171,38000,Punjab,3.6,81.4,31.512683,74.32318
The White Thistle,Restaurant/Cafe/Shop,Pass,19/03/2024,Address_172,55150,Punjab,2.9,75.1,31.640259,74.301327
Osteria Enzo,Restaurant/Cafe/Shop,Pass,20/07/2025,Address_173,38000,Punjab,3.1,76.9,31.638585,74.39816
Aztec Grill,Restaurant/Cafe/Shop,Pass,21/03/2024,Address_174,40100,Punjab,3.9,84.1,31.541407,74.32584
La Dolce Italia,Restaurant/Cafe/Shop,Pass,19/07/2025,Address_175,40100,Punjab,1.8,65.2,31.556368,74.306968
Tandoori Dhaba,Restaurant/Cafe/Shop,Pass,09/11/2024,Address_176,38000,Punjab,3.7,82.3,31.563143,74.33755
Olive Tree,Restaurant/Cafe/Shop,Pass,15/08/2024,Address_177,40100,Punjab,2.5,71.5,31.669362,74.40032
Sultan Cafe,Restaurant/Cafe/Shop,Pass,15/05/2025,Address_178,54000,Punjab,3.2,77.8,31.656559,74.359104
Munchies Fry,Restaurant/Cafe/Shop,Pass,09/04/2024,Address_179,46000,Punjab,4.4,88.6,31.556425,74.238894
Alexandria Pita,Restaurant/Cafe/Shop,Pass,26/11/2025,Address_180,46000,Punjab,4.8,92.2,31.537527,74.200842
Sweet Sins Bakehouse,Restaurant/Cafe/Shop,Pass,05/01/2024,Address_181,55150,Punjab,2.5,71.5,31.480014,74.349201
Shanghai Spice,Restaurant/Cafe/Shop,Pass,15/11/2025,Address_182,40100,Punjab,4.2,86.8,31.469903,74.236949
Gusto Kitchen,Restaurant/Cafe/Shop,Pass,26/04/2024,Address_183,38000,Punjab,3.7,82.3,31.435573,74.344104
Chicken Fry,Restaurant/Cafe/Shop,Pass,19/09/2024,Address_184,55150,Punjab,3.3,78.7,31.544631,74.361194
Espresso Bakery,Restaurant/Cafe/Shop,Pass,09/07/2024,Address_185,46000,Punjab,1.5,62.5,31.612165,74.266297
Red Bar,Restaurant/Cafe/Shop,Pass,31/01/2025,Address_186,54000,Punjab,1.3,60.7,31.579067,74.44256
Lotus Bar,Restaurant/Cafe/Shop,Pass,14/01/2024,Address_187,55150,Punjab,2.3,69.7,31.58272,74.448835
Fortune Bistro,Restaurant/Cafe/Shop,Improvement Required,08/02/2025,Address_188,54000,Punjab,4.9,79.1,31.548702,74.287022
Mayfair Pub,Restaurant/Cafe/Shop,Pass,09/01/2024,Address_189,54000,Punjab,3.5,80.5,31.50094,74.360398
Shahi Cuisine,Restaurant/Cafe/Shop,Pass,06/04/2025,Address_190,38000,Punjab,2.6,72.4,31.680661,74.319126
Bella Venezia,Restaurant/Cafe/Shop,Improvement Required,02/11/2024,Address_191,38000,Punjab,5,80,31.408575,74.362098
Lebanese Lounge,Restaurant/Cafe/Shop,Pass,15/06/2025,Address_192,55150,Punjab,1.6,63.4,31.561724,74.342409
Cantina Cilantro,Restaurant/Cafe/Shop,Pass,14/05/2024,Address_193,54000,Punjab,1.3,60.7,31.588926,74.477311
Napoli Pasta,Restaurant/Cafe/Shop,Pass,29/06/2025,Address_194,54000,Punjab,1.1,58.9,31.442929,74.427314
Osteria Toscana,Restaurant/Cafe/Shop,Improvement Required,11/01/2025,Address_195,40100,Punjab,3,62,31.640358,74.367045
The Daily Pastry,Restaurant/Cafe/Shop,Improvement Required,30/04/2025,Address_196,46000,Punjab,1.9,52.1,31.507612,74.363464
Chicken Fry (1),Restaurant/Cafe/Shop,Improvement Required,13/04/2025,Address_197,38000,Punjab,1.9,52.1,31.603194,74.370469
Green Leaf Vienna,Restaurant/Cafe/Shop,Pass,15/02/2024,Address_198,60000,Punjab,1.2,59.8,31.669135,74.201045
The Pizza Hot Dog,Restaurant/Cafe/Shop,Pass,07/01/2024,Address_199,46000,Punjab,4.4,88.6,31.442478,74.414595
Bella Olive,Restaurant/Cafe/Shop,Pass,19/05/2024,Address_200,54000,Punjab,3.6,81.4,31.536448,74.263014
Tuscan Italia (1),Restaurant/Cafe/Shop,Pass,27/11/2025,Address_201,55150,Punjab,3.8,83.2,31.552859,74.487574
The Velvet Bean,Restaurant/Cafe/Shop,Pass,20/01/2024,Address_202,54000,Punjab,5,94,31.601777,74.237948
Bella Enzo,Restaurant/Cafe/Shop,Pass,05/08/2025,Address_203,55150,Punjab,4,85,31.636281,74.214784
The Fryer Coop,Restaurant/Cafe/Shop,Improvement Required,06/03/2025,Address_204,55150,Punjab,3.8,69.2,31.456779,74.456754
Da Bistro,Restaurant/Cafe/Shop,Improvement Required,22/06/2024,Address_205,55150,Punjab,1.9,52.1,31.666321,74.337892
Chopsticks Express,Restaurant/Cafe/Shop,Pass,08/06/2025,Address_206,60000,Punjab,3.4,79.6,31.676692,74.321716
Athens Olive,Restaurant/Cafe/Shop,Pass,13/03/2024,Address_207,55150,Punjab,4.1,85.9,31.595606,74.307708
Cancun Express,Restaurant/Cafe/Shop,Improvement Required,15/06/2024,Address_208,38000,Punjab,2.2,54.8,31.681897,74.2481
Aztec Bonita,Restaurant/Cafe/Shop,Pass,22/09/2025,Address_209,60000,Punjab,4.7,91.3,31.571015,74.484593
